epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
76,530.53,1.53791,0.52853,0.00209,0.90279,0.87389,0.92812,0.39854,1.99224,0.84051,0.00363,0.000946048,0.000946048,0.000946048
77,540.551,1.49907,0.5539,0.00202,0.91541,0.83889,0.91851,0.40286,1.94396,0.90334,0.00346,0.000944628,0.000944628,0.000944628
78,552.731,1.44907,0.55092,0.00213,0.93902,0.86349,0.94528,0.42235,1.88344,0.85062,0.00335,0.000943189,0.000943189,0.000943189
79,558.534,1.46604,0.55494,0.00214,0.89204,0.87809,0.9358,0.4442,1.83996,0.68631,0.00329,0.000941734,0.000941734,0.000941734
80,563.162,1.47964,0.54146,0.00209,0.97801,0.90445,0.97257,0.42668,1.88475,0.66398,0.00339,0.000940262,0.000940262,0.000940262
81,568.795,1.49872,0.55029,0.002,0.98709,0.87511,0.96678,0.43329,1.89132,0.67963,0.00341,0.000938772,0.000938772,0.000938772
82,573.864,1.42871,0.4977,0.00207,0.90433,0.87715,0.94397,0.42872,1.88562,0.81505,0.00338,0.000937265,0.000937265,0.000937265
83,579.097,1.45202,0.55032,0.00209,0.939,0.88405,0.95492,0.42765,1.90755,0.72959,0.00346,0.000935741,0.000935741,0.000935741
84,584.427,1.43987,0.51435,0.00215,0.92897,0.8619,0.95696,0.44153,1.88672,0.70497,0.0034,0.0009342,0.0009342,0.0009342
85,589.234,1.48287,0.54211,0.0021,0.95449,0.92829,0.96687,0.43702,1.84326,0.68862,0.0033,0.000932642,0.000932642,0.000932642
86,596.373,1.49294,0.53062,0.00209,0.95704,0.89683,0.96653,0.45731,1.81001,0.66999,0.00321,0.000931067,0.000931067,0.000931067
87,602.92,1.45118,0.52694,0.00214,0.93024,0.91885,0.96952,0.44671,1.88408,0.64393,0.00333,0.000929476,0.000929476,0.000929476
88,609.372,1.44682,0.49824,0.00213,0.90312,0.9345,0.96758,0.42642,1.9151,0.70491,0.00341,0.000927867,0.000927867,0.000927867
89,616.234,1.45237,0.52485,0.00211,0.91813,0.94286,0.9688,0.423,1.91652,0.69685,0.00342,0.000926242,0.000926242,0.000926242
90,625.261,1.44181,0.53296,0.00201,0.90697,0.91489,0.94342,0.39957,1.99112,0.72932,0.00356,0.000924601,0.000924601,0.000924601
91,632.066,1.46329,0.53537,0.00211,0.92308,0.86409,0.93762,0.4061,2.0031,0.82762,0.00361,0.000922942,0.000922942,0.000922942
92,639.764,1.45665,0.51256,0.00208,0.89167,0.84625,0.92377,0.40653,1.94188,0.80759,0.00347,0.000921268,0.000921268,0.000921268
93,647.364,1.40008,0.49589,0.00207,0.89595,0.82857,0.92709,0.40846,1.97103,0.77988,0.00353,0.000919576,0.000919576,0.000919576
94,652.884,1.46986,0.5221,0.00219,0.90121,0.87076,0.90782,0.40356,1.93486,0.81694,0.00347,0.000917869,0.000917869,0.000917869
95,658.77,1.39828,0.47546,0.00201,0.9375,0.87537,0.93441,0.43163,1.79174,0.80507,0.00319,0.000916145,0.000916145,0.000916145
96,663.266,1.46554,0.50271,0.00207,0.86416,0.90741,0.92537,0.44453,1.81388,0.77253,0.00324,0.000914405,0.000914405,0.000914405
97,667.872,1.48556,0.52687,0.00199,0.92806,0.89102,0.93242,0.4405,1.81565,0.6927,0.00329,0.000912649,0.000912649,0.000912649
98,673.122,1.49012,0.5039,0.00224,0.91039,0.90456,0.93534,0.41906,1.92576,0.70543,0.00355,0.000910876,0.000910876,0.000910876
99,677.864,1.43114,0.5021,0.0022,0.95778,0.89762,0.95877,0.42478,1.92928,0.73349,0.00352,0.000909088,0.000909088,0.000909088
100,683.685,1.4302,0.56982,0.0021,0.86235,0.91089,0.95224,0.42682,1.85168,0.7931,0.00333,0.000907284,0.000907284,0.000907284
101,688.271,1.47797,0.53298,0.00208,0.88829,0.90873,0.95851,0.42924,1.86875,0.70896,0.00339,0.000905463,0.000905463,0.000905463
102,694.226,1.46461,0.52603,0.00215,0.91532,0.90873,0.94228,0.44707,1.83686,0.74135,0.00325,0.000903627,0.000903627,0.000903627
