epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,724.605,1.59116,0.62266,0.00351,0.82833,0.87039,0.85434,0.44255,1.98162,0.76376,0.00439,0.00097178,0.00097178,0.00097178
56,737.198,1.57156,0.61686,0.00348,0.85013,0.88173,0.87188,0.45076,2.01957,0.70153,0.0045,0.000970736,0.000970736,0.000970736
57,751.924,1.61314,0.64975,0.00352,0.88379,0.87302,0.89344,0.44775,2.02655,0.73125,0.00458,0.000969673,0.000969673,0.000969673
58,764.424,1.59314,0.62477,0.00348,0.87819,0.87241,0.88099,0.44156,2.02188,0.74429,0.00449,0.000968592,0.000968592,0.000968592
59,777.661,1.57902,0.62171,0.00346,0.90856,0.86211,0.89639,0.44971,1.97399,0.63893,0.00435,0.000967493,0.000967493,0.000967493
60,790.254,1.55893,0.60356,0.0034,0.8557,0.88269,0.88134,0.43473,2.01475,0.66735,0.00455,0.000966375,0.000966375,0.000966375
61,802.716,1.56408,0.60384,0.00335,0.8595,0.87309,0.8658,0.43233,2.01309,0.68788,0.00457,0.000965239,0.000965239,0.000965239
62,815.608,1.54856,0.59713,0.00339,0.86121,0.86006,0.85903,0.42087,2.03953,0.72696,0.00462,0.000964085,0.000964085,0.000964085
63,828.078,1.55031,0.59045,0.00338,0.84554,0.87965,0.85846,0.44491,1.91937,0.69324,0.00429,0.000962913,0.000962913,0.000962913
64,840.908,1.53313,0.57272,0.00347,0.84532,0.89961,0.87718,0.45518,2.0145,0.63957,0.00442,0.000961723,0.000961723,0.000961723
65,853.223,1.53336,0.56916,0.00339,0.87511,0.88411,0.87607,0.44639,2.06135,0.73446,0.00453,0.000960515,0.000960515,0.000960515
66,865.479,1.55184,0.58146,0.00336,0.87675,0.88557,0.87833,0.45859,1.95825,0.67973,0.00427,0.000959289,0.000959289,0.000959289
67,878.227,1.54223,0.57521,0.00336,0.87487,0.86449,0.88128,0.43885,1.98609,0.65514,0.00444,0.000958044,0.000958044,0.000958044
68,890.715,1.54171,0.59579,0.0033,0.87188,0.88692,0.87199,0.42768,2.03097,0.66827,0.0045,0.000956782,0.000956782,0.000956782
69,903.157,1.55815,0.59413,0.00341,0.88306,0.87817,0.89436,0.45302,1.97504,0.66517,0.00433,0.000955502,0.000955502,0.000955502
70,916.108,1.559,0.59573,0.00328,0.8727,0.8189,0.85624,0.43637,1.94778,0.71865,0.00432,0.000954205,0.000954205,0.000954205
71,928.635,1.53265,0.59007,0.00335,0.87419,0.85257,0.87815,0.43838,1.99204,0.70553,0.00453,0.000952889,0.000952889,0.000952889
72,941.106,1.52461,0.57609,0.00334,0.89469,0.87692,0.88278,0.45876,1.9465,0.74848,0.00433,0.000951556,0.000951556,0.000951556
73,953.488,1.51998,0.57423,0.0032,0.88337,0.88573,0.88611,0.45174,1.94554,0.82639,0.00428,0.000950206,0.000950206,0.000950206
74,965.852,1.52452,0.56043,0.00327,0.85148,0.89571,0.87979,0.43782,1.9821,0.80256,0.00445,0.000948837,0.000948837,0.000948837
